support,itemsets
0.034967979258537014,"frozenset({'/shuttle/countdown/video', '/shuttle/missions/sts-69', '/shuttle/countdown', '/shuttle/missions'})"
0.03494581957586367,"frozenset({'/history/apollo/images', '/shuttle/countdown/video', '/shuttle/countdown/images'})"
0.03487934052784364,"frozenset({'/shuttle/countdown/images', '/history/apollo/images', '/shuttle/countdown', '/shuttle/countdown/video'})"
0.03487934052784364,"frozenset({'/shuttle/missions/sts-69', '/shuttle/missions/sts-70', '/shuttle/countdown', '/shuttle/missions'})"
0.03474638243180358,"frozenset({'/history/apollo/apollo-13', '/history'})"
0.03472422274913023,"frozenset({'/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/technology/images'})"
0.03450262592239679,"frozenset({'/facilities', '/shuttle/technology/sts-newsref'})"
0.03441398719170342,"frozenset({'/shuttle/countdown/images', '/shuttle/missions/sts-69', '/shuttle/countdown', '/shuttle/missions'})"
0.03412591131694994,"frozenset({'/shuttle/countdown/video', '/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/countdown/images'})"
0.03405943226892991,"frozenset({'/shuttle/countdown/video', '/shuttle/missions/sts-69', '/shuttle/countdown', '/shuttle/countdown/images', '/history/apollo/images'})"
0.03394863385556319,"frozenset({'/shuttle/missions/sts-69', '/shuttle/missions/sts-71', '/shuttle/missions'})"
0.03379351607684978,"frozenset({'/shuttle/resources/orbiters', '/history/apollo/images', '/facilities'})"
0.03361623861546303,"frozenset({'/history', '/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/countdown'})"
0.033594078932789685,"frozenset({'/shuttle/resources/orbiters', '/shuttle/missions/sts-70'})"
0.033438961154076276,"frozenset({'/history/apollo', '/facilities'})"
0.033394641788729584,"frozenset({'/shuttle/technology/images', '/shuttle/missions'})"
0.03284064972189598,"frozenset({'/history/apollo/images', '/history/apollo/apollo-13', '/history'})"
0.03284064972189598,"frozenset({'/shuttle/technology/images', '/shuttle/countdown'})"
0.03284064972189598,"frozenset({'/history/apollo', '/history', '/history/apollo/images', '/shuttle/missions'})"
0.03270769162585592,"frozenset({'/history/apollo', '/history/apollo/apollo-13', '/history'})"
0.03268553194318257,frozenset({'/history/mercury'})
0.03255257384714251,"frozenset({'/history/apollo/images', '/facts'})"
0.03250825448179582,"frozenset({'/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/technology/sts-newsref', '/shuttle/technology/images'})"
0.032463935116449134,"frozenset({'/shuttle/technology/sts-newsref', '/shuttle/countdown/images'})"
0.03233097702040907,"frozenset({'/shuttle/resources/orbiters', '/history/apollo/images', '/shuttle/technology/sts-newsref'})"
0.032198018924369,"frozenset({'/history/apollo/images', '/shuttle/missions', '/shuttle/countdown/video'})"
0.03190994304961553,"frozenset({'/history/apollo/images', '/shuttle/missions/sts-70', '/shuttle/countdown', '/shuttle/missions'})"
0.03186562368426884,"frozenset({'/history/apollo/images', '/shuttle/missions/51-l'})"
0.031843464001595496,"frozenset({'/history/apollo/images', '/shuttle/missions', '/shuttle/countdown/images'})"
0.03168834622288209,"frozenset({'/shuttle/countdown/video', '/history/apollo/images', '/shuttle/countdown', '/shuttle/missions'})"
0.03155538812684203,"frozenset({'/shuttle/technology/images', '/shuttle/technology/sts-newsref', '/shuttle/missions'})"
0.03128947193476189,"frozenset({'/history/apollo', '/history/apollo/images', '/facilities'})"
0.031222992886741862,"frozenset({'/history/apollo/images', '/shuttle/missions/sts-70', '/shuttle/technology/sts-newsref'})"
0.031090034790701798,"frozenset({'/shuttle/countdown/video', '/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/missions'})"
0.03093491701198839,"frozenset({'/shuttle/missions/sts-73', '/shuttle/missions'})"
0.030912757329315043,"frozenset({'/history/apollo', '/history/apollo/apollo-13', '/history', '/history/apollo/images'})"
0.030824118598621667,frozenset({'/shuttle/countdown/lps'})
0.030824118598621667,"frozenset({'/shuttle/countdown/images', '/shuttle/missions/sts-69', '/history/apollo/images', '/shuttle/missions'})"
0.030801958915948325,frozenset({'/elv'})
0.030801958915948325,"frozenset({'/shuttle/countdown', '/shuttle/technology/sts-newsref', '/shuttle/countdown/images'})"
0.030713320185254946,"frozenset({'/shuttle/missions/sts-69', '/shuttle/countdown', '/shuttle/technology/images'})"
0.030602521771888228,"frozenset({'/shuttle/countdown/video', '/shuttle/missions/sts-69', '/shuttle/countdown', '/history/apollo/images', '/shuttle/missions'})"
