antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
frozenset({'/history'}),frozenset({'/images'}),0.056252320946698686,0.649577897160399,0.04520090114623821,0.803538420913652,1.2370162599840366,1.0,0.008660636795289813,1.7836673433515715,0.20302374568051637,0.06842097373785827,0.43935734220431144,0.43656172829327944
frozenset({'/shuttle/missions'}),frozenset({'/history'}),0.11710940014358924,0.056252320946698686,0.018255638353180007,0.1558853373921867,2.771180544530674,1.0,0.011667962790427464,1.1180325622323406,0.7239209061791979,0.11769775904999043,0.10557166778458474,0.24020831432587947
frozenset({'/history'}),frozenset({'/shuttle/missions'}),0.056252320946698686,0.11710940014358924,0.018255638353180007,0.32453129125957225,2.771180544530674,1.0,0.011667962790427464,1.307078460381637,0.6772392423219415,0.11769775904999043,0.23493498645213481,0.24020831432587947
frozenset({'/history/apollo/apollo-11'}),frozenset({'/history/apollo'}),0.024672591785705442,0.07096279058252668,0.010685019681628005,0.43307244631747943,6.102810258199116,1.0,0.008934183717610822,1.6387229785937238,0.8572926959947951,0.12577956519204989,0.3897687326883316,0.29182229628182094
frozenset({'/history/apollo'}),frozenset({'/history/apollo/apollo-11'}),0.07096279058252668,0.024672591785705442,0.010685019681628005,0.1505721462461624,6.102810258199116,1.0,0.008934183717610822,1.1482168896440996,0.9000081533762542,0.12577956519204989,0.12908440119709513,0.29182229628182094
frozenset({'/history/apollo/apollo-13'}),frozenset({'/history/apollo'}),0.07210655311563885,0.07096279058252668,0.03300571881266556,0.45773535672594934,6.450357334716464,1.0,0.027888836584292646,1.7132542586737578,0.9106323920403908,0.2998785370462009,0.4163154739366548,0.46142419524826633
frozenset({'/history/apollo'}),frozenset({'/history/apollo/apollo-13'}),0.07096279058252668,0.07210655311563885,0.03300571881266556,0.46511303377058333,6.450357334716464,1.0,0.027888836584292646,1.7347467885137835,0.9095112881697426,0.2998785370462009,0.4235469945116694,0.46142419524826633
frozenset({'/history/apollo/images'}),frozenset({'/history/apollo'}),0.20629316960859556,0.07096279058252668,0.05818334860000495,0.2820420506912442,3.974506193682468,1.0,0.04354420960646453,1.293999474916244,0.9429129095132824,0.265589332127924,0.22720215936352953,0.5509777655074977
frozenset({'/history/apollo'}),frozenset({'/history/apollo/images'}),0.07096279058252668,0.20629316960859556,0.05818334860000495,0.819913480323751,3.974506193682468,1.0,0.04354420960646453,4.407363926063389,0.8055612941640793,0.265589332127924,0.7731070052812296,0.5509777655074977
frozenset({'/history/apollo'}),frozenset({'/icons'}),0.07096279058252668,0.08148936696952443,0.01840913029485307,0.2594194808819425,3.18347645256541,1.0,0.012626417411892039,1.2402576213107948,0.7382675203740794,0.13733747044917258,0.19371589997316285,0.2426639268548733
frozenset({'/icons'}),frozenset({'/history/apollo'}),0.08148936696952443,0.07096279058252668,0.01840913029485307,0.2259083728278041,3.18347645256541,1.0,0.012626417411892039,1.2001643950229808,0.7467284234576035,0.13733747044917258,0.166780814239326,0.2426639268548733
frozenset({'/history/apollo'}),frozenset({'/images'}),0.07096279058252668,0.649577897160399,0.05447973658802268,0.7677225788445436,1.1818791590671556,1.0,0.008383876304791232,1.5086361002995374,0.16564439863197866,0.08179392065179415,0.3371496281963215,0.42579601105163944
frozenset({'/history/apollo'}),frozenset({'/shuttle/missions'}),0.07096279058252668,0.11710940014358924,0.01001163567944941,0.1410828914317611,1.204710221884645,1.0,0.0017012258418145666,1.0279112978994378,0.18290426188847309,0.05622601635059229,0.02715341095722481,0.1132862453099952
frozenset({'/history/apollo/apollo-11'}),frozenset({'/history/apollo/images'}),0.024672591785705442,0.20629316960859556,0.01633946475874533,0.6622516556291391,3.2102451907915484,1.0,0.011249677596813154,2.3499947331196487,0.7059140429074738,0.07612983597480795,0.5744671313911895,0.37072836237678153
frozenset({'/history/apollo/apollo-11'}),frozenset({'/images'}),0.024672591785705442,0.649577897160399,0.01667120540687743,0.6756973710616095,1.040209917879581,1.0,0.0006444351172219531,1.0805404322089927,0.039633439857825956,0.025352388410336726,0.07453717585036636,0.3506810228684473
frozenset({'/history/apollo/apollo-13/images'}),frozenset({'/history/apollo/apollo-13'}),0.013858836927190355,0.07210655311563885,0.011556457802094423,0.8338692390139336,11.564402997833488,1.0,0.010557144841082994,5.585319909310383,0.9263661021730539,0.15531008783603942,0.8209592259284805,0.4970692071606096
